City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
279,tuatapere,-46.1333,167.6833,51.98,94,49,2.19,NZ,1668882588
280,port-cartier,50.0334,-66.8654,26.74,71,78,8.19,CA,1668882429
281,almeirim,-1.5233,-52.5817,93.63,40,80,3.89,BR,1668882589
282,kysyl-syr,63.8986,122.7617,-2.22,98,99,4.59,RU,1668882589
283,kumba,4.6363,9.4469,74.39,89,78,0.74,CM,1668882590
284,rock sound,24.9,-76.2,80.35,75,81,13.82,BS,1668882590
285,anadyr,64.75,177.4833,-1.7,84,75,8.95,RU,1668882590
286,tilichiki,60.4667,166.1,-4.52,99,85,8.1,RU,1668882591
287,tessalit,20.1986,1.0114,76.48,10,100,7.38,ML,1668882591
288,bandiagara,14.3501,-3.6104,83.84,14,100,8.84,ML,1668882591
289,naples,40.8333,14.25,65.75,79,40,13.8,IT,1668882592
290,barreirinha,-2.7933,-57.07,100.2,26,100,2.77,BR,1668882592
291,alamosa,37.4695,-105.87,21.18,73,0,0.0,US,1668882592
292,sao gabriel da cachoeira,-0.1303,-67.0892,89.4,66,40,5.75,BR,1668882307
293,nipawin,53.3668,-104.0009,21.24,93,100,11.5,CA,1668882593
294,hasaki,35.7333,140.8333,51.22,55,95,11.52,JP,1668882593
295,asau,46.4333,26.4,34.72,86,100,2.17,RO,1668882594
296,novikovo,51.1537,37.8879,36.64,100,100,13.6,RU,1668882594
297,chulym,55.0997,80.9572,16.2,92,100,14.92,RU,1668882594
298,aljezur,37.3191,-8.8033,59.7,72,61,13.06,PT,1668882595
299,saint-augustin,51.226,-58.6502,27.81,84,73,7.78,CA,1668882595
300,sisian,39.5256,46.0251,40.23,72,3,5.46,AM,1668882595
301,victoria,22.2855,114.1577,76.32,87,99,5.99,HK,1668882596
302,pisco,-13.7,-76.2167,70.02,73,0,11.5,PE,1668882596
303,salalah,17.0151,54.0924,77.09,69,0,3.44,OM,1668882597
304,san roque,36.2107,-5.3842,61.63,63,20,14.97,ES,1668882597
305,santa luzia,-19.7697,-43.8514,86.14,47,40,6.91,BR,1668882597
306,lebu,-37.6167,-73.65,58.62,60,69,17.22,CL,1668882598
307,kodinsk,58.6881,99.1844,5.02,99,96,3.78,RU,1668882598
308,jalu,29.0331,21.5482,70.83,21,23,9.66,LY,1668882599
309,ust-ishim,57.6935,71.1665,-0.36,92,32,7.56,RU,1668882599
310,nabire,-3.3667,135.4833,73.98,94,100,5.55,ID,1668882599
311,tura,25.5198,90.2201,61.83,56,41,3.47,IN,1668882600
312,kigoma,-4.8769,29.6267,73.99,78,75,0.0,TZ,1668882600
313,pontianak,-0.0333,109.3333,76.44,92,100,3.13,ID,1668882601
314,mahibadhoo,3.7833,72.9667,80.96,77,100,11.83,MV,1668882601
315,pochutla,15.7432,-96.4661,89.42,57,34,6.4,MX,1668882602
316,adrar,20.5022,-10.0711,72.37,26,0,7.65,MR,1668882603
317,kendari,-3.945,122.4989,75.22,94,100,3.62,ID,1668882603
318,alofi,-19.0595,-169.9187,71.49,94,8,2.3,NU,1668882603
319,rudsar,37.1376,50.288,55.38,73,12,2.62,IR,1668882604
320,cidreira,-30.1811,-50.2056,72.79,71,7,22.77,BR,1668882604
321,sept-iles,50.2001,-66.3821,27.05,64,40,10.36,CA,1668882605
322,umm lajj,25.0213,37.2685,77.92,58,0,10.67,SA,1668882606
323,wau,7.7029,27.9953,80.17,28,98,2.82,SS,1668882607
324,ponerihouen,-21.0833,165.4,72.79,79,80,4.68,NC,1668882607
325,douglas,41.3,-96.167,28.83,46,100,24.16,US,1668882608
326,padang,-0.9492,100.3543,75.72,87,100,3.85,ID,1668882609
327,vredendal,-31.6683,18.5012,58.26,75,4,10.67,ZA,1668882609
328,iqaluit,63.7506,-68.5145,-4.27,76,40,12.66,CA,1668882610
329,asfi,32.2994,-9.2372,64.78,62,53,24.58,MA,1668882547
330,dera bugti,29.0307,69.151,67.12,29,17,4.41,PK,1668882611
331,kantang,7.4054,99.5156,75.63,92,100,2.21,TH,1668882611
332,portland,45.5234,-122.6762,45.05,54,0,14.97,US,1668882312
333,odweyne,9.4092,45.064,71.78,55,70,6.62,SO,1668882612
334,namangan,40.9983,71.6726,45.05,81,100,0.0,UZ,1668882612
335,la ronge,55.1001,-105.2842,25.05,68,100,4.61,CA,1668882613
336,alugan,12.2188,125.4808,76.57,91,96,2.17,PH,1668882613
337,puerto madryn,-42.7692,-65.0385,74.66,24,22,18.48,AR,1668882614
338,itupiranga,-5.1347,-49.3267,86.32,88,100,1.88,BR,1668882614
339,hualmay,-11.0964,-77.6139,69.3,71,100,8.03,PE,1668882615
340,thunder bay,48.4001,-89.3168,12.18,52,75,21.85,CA,1668882559
341,ukiah,39.1502,-123.2078,59.65,28,51,1.86,US,1668882616
342,karratha,-20.7377,116.8463,75.49,56,97,2.86,AU,1668882616
343,brae,60.3964,-1.353,46.51,58,100,26.57,GB,1668882617
344,quatre cocos,-20.2078,57.7625,73.51,67,0,6.42,MU,1668882617
345,dubuque,42.4833,-90.8668,25.25,55,100,26.46,US,1668882362
346,margate,51.3813,1.3862,49.3,89,100,3.0,GB,1668882618
347,ulladulla,-35.35,150.4667,67.19,70,1,9.55,AU,1668882619
348,pacifica,37.6138,-122.4869,59.0,34,20,14.0,US,1668882619
349,bogale,16.2833,95.4,74.23,73,100,4.74,MM,1668882620
350,hamilton,39.1834,-84.5333,35.65,46,0,17.27,US,1668882620
351,souillac,-20.5167,57.5167,73.78,78,75,2.3,MU,1668882621
